ID,Tenant Code,Trade Name,Document Type,GL Account,Doc. No.,Ref. No.,Posting Date,Due Date,Bank Code,Bank Name,Debit,Credit
8186,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHK#030446 / OR#030446,GL0001064,2020-01-02,,B-001,Land Bank of the Philippines,0,-16050.00
7526,ASCT-LT000017,BUKO FACTORY,Payment,Rent Receivables,PR030393,GL0001168,2020-01-03,,B-001,Land Bank of the Philippines,0,-14124.00
7534,ASCT-LT000043,K and K Cellshop and Services,Payment,Rent Receivables,PR030395,GL0001153,2020-01-06,,B-001,Land Bank of the Philippines,0,-12840.00
7669,ASCT-LT000019,LEYLAM,Payment,Rent Receivables,PRCHK# 1929350 / OR#030436,GL0001166,2020-01-06,,B-001,Land Bank of the Philippines,0,-14124.00
7530,ASCT-LT000036,M Lhuillier,Payment,Rent Receivables,PR030394,GL0001145,2020-01-06,,B-001,Land Bank of the Philippines,0,-23540.00
7546,ASCT-LT000070,Boholanos Lechon House,Payment,Rent Receivables,PR030398,GL0001115,2020-01-07,,B-001,Land Bank of the Philippines,0,-1391.00
7649,ASCT-LT000009,Save N Earn,Payment,Rent Receivables,PRCHK#1501493 / OR#030435,GL0001179,2020-01-07,,B-001,Land Bank of the Philippines,0,-11770.00
7538,ASCT-LT000008,TECHNOCARE,Payment,Rent Receivables,PR030396,GL0001183,2020-01-07,,B-001,Land Bank of the Philippines,0,-11770.00
7542,ASCT-LT000045,JJJ Key Services,Payment,Rent Receivables,PR030397,GL0001149,2020-01-07,,B-001,Land Bank of the Philippines,0,-12840.00
7550,ASCT-LT000063,Sams Food and Beverage Kiosk,Payment,Rent Receivables,PR030399,GL0001126,2020-01-07,,B-001,Land Bank of the Philippines,0,-12840.00
7558,ASCT-LT000057,Santinos Italian Pizza Slices,Payment,Rent Receivables,PR030451,GL0001141,2020-01-07,,B-001,Land Bank of the Philippines,0,-12840.00
7554,ASCT-LT000011,LROYALE SKIN CARE AND WELNESS SHOP,Payment,Rent Receivables,PR030400,GL0001181,2020-01-07,,B-001,Land Bank of the Philippines,0,-14124.00
7645,ASCT-LT000046,Potato Corner,Payment,Rent Receivables,PRCHK#200000817 / OR#030434,GL0001147,2020-01-07,,B-001,Land Bank of the Philippines,0,-16050.00
7625,ASCT-LT000061,A and A Cafeteria,Payment,Rent Receivables,PROR# 030428,GL0001136,2020-01-08,,B-001,Land Bank of the Philippines,0,-5000.00
7620,ASCT-LT000016,WAFFLE TIME,Payment,Rent Receivables,PRCHK#1908879 / OR#030427,GL0001170,2020-01-08,,B-001,Land Bank of the Philippines,0,-6906.63
7578,ASCT-LT000056,Pat and Jane Franchising Corp.,Payment,Rent Receivables,PR030456,GL0001128,2020-01-08,,B-001,Land Bank of the Philippines,0,-10700.00
7635,ASCT-LT000005,THIRSTY THE HEALTHY WAY,Payment,Rent Receivables,PRCHK#1630831 / OR# 030430,GL0001118,2020-01-08,,B-001,Land Bank of the Philippines,0,-11770.00
7574,ASCT-LT000066,Aiztea,Payment,Rent Receivables,PR030455,GL0001130,2020-01-08,,B-001,Land Bank of the Philippines,0,-12840.00
7566,ASCT-LT000055,PCSO Lotto,Payment,Rent Receivables,PR030453,GL0001143,2020-01-08,,B-001,Land Bank of the Philippines,0,-12840.00
7570,ASCT-LT000013,MASTER SIOMAI,Payment,Rent Receivables,PR030454,GL0001177,2020-01-08,,B-001,Land Bank of the Philippines,0,-14124.00
7641,ASCT-LT000006,ZAGU PEARL SHAKE,Payment,Rent Receivables,PROR# 16619.50,GL0001175,2020-01-08,,B-001,Land Bank of the Philippines,0,-14124.00
7562,ASCT-LT000037,Miche Cellphone Accessories,Payment,Rent Receivables,PR030452,GL0001164,2020-01-08,,B-001,Land Bank of the Philippines,0,-21400.00
9224,ASCT-LT000033,ABENSON,Payment,Rent Receivables,PRCHCK#1929350 / OR#030436,GL0001485,2020-01-08,,B-001,Land Bank of the Philippines,0,-151391.62
8196,ASCT-LT000044,LFAFA ENTERPRISE,Payment,Rent Receivables,PRCHK#465544 / OR#030447,GL0001155,2020-01-09,,B-001,Land Bank of the Philippines,0,-16050.00
7588,ASCT-LT000002,IDEAL VISION CENTER,Payment,Rent Receivables,PR030458,GL0001151,2020-01-09,,B-001,Land Bank of the Philippines,0,-34240.00
8259,ASCT-LT000064,Mr. Softy,Payment,Rent Receivables,PROR# 030448,GL0001086,2020-01-10,,B-001,Land Bank of the Philippines,0,-10700.00
8263,ASCT-LT000064,Mr. Softy,Payment,Rent Receivables,PROR# 030448,GL0001132,2020-01-10,,B-001,Land Bank of the Philippines,0,-10700.00
7592,ASCT-LT000038,ASC TECH,Payment,Rent Receivables,PR030459,GL0001173,2020-01-10,,B-001,Land Bank of the Philippines,0,-29425.00
7596,ASCT-LT000072,Lugaw Bisdak,Payment,Rent Receivables,PR030460,GL0001190,2020-01-13,,B-001,Land Bank of the Philippines,0,-12011.62
9683,ASCT-LT000034,RED RIBBON,Payment,Rent Receivables,PRJV#1002850,GL0001158,2020-01-23,,,,0,-22192.33
8243,ASCT-LT000014,JOLLIBEE,Payment,Rent Receivables,PRJV# 01002851,GL0001160,2020-01-23,,,,0,-393664.85
9100,ASCT-LT000014,JOLLIBEE,Invoice,Rent Receivables,ASCT-IC0001266,GL0001468,2020-01-31,2020-02-08,,,261153.29,0
9210,ASCT-LT000033,ABENSON,Invoice,Rent Receivables,ASCT-IC0001282,GL0001485,2020-01-31,2020-02-08,,,151391.62,0
9756,ASCT-LT000077,CHOWKING,Invoice,Rent Receivables,ASCT-IC0001362,GL0001578,2020-01-31,2020-02-08,,,107131.87,0
7945,ASCT-LT000059,Penshoppe,Invoice,Rent Receivables,ASCT-IC0001090,GL0001268,2020-01-31,2020-02-08,,,87740.00,0
8071,ASCT-LT000073,PNB,Invoice,Rent Receivables,ASCT-IC0001108,GL0001298,2020-01-31,2020-02-08,,,63820.32,0
7958,ASCT-LT000058,For Me,Invoice,Rent Receivables,ASCT-IC0001093,GL0001271,2020-01-31,2020-02-08,,,41516.00,0
7832,ASCT-LT000002,IDEAL VISION CENTER,Invoice,Rent Receivables,ASCT-IC0001065,GL0001240,2020-01-31,2020-02-08,,,34240.00,0
9066,ASCT-LT000038,ASC TECH,Invoice,Rent Receivables,ASCT-IC0001260,GL0001462,2020-01-31,2020-02-08,,,29425.00,0
7697,ASCT-LT000008,TECHNOCARE,Invoice,Rent Receivables,ASCT-IC0001036,GL0001211,2020-01-31,2020-02-08,,,25187.80,0
7859,ASCT-LT000036,M Lhuillier,Invoice,Rent Receivables,ASCT-IC0001071,GL0001246,2020-01-31,2020-02-08,,,23540.00,0
7805,ASCT-LT000034,RED RIBBON,Invoice,Rent Receivables,ASCT-IC0001059,GL0001234,2020-01-31,2020-02-08,,,22192.33,0
7783,ASCT-LT000037,Miche Cellphone Accessories,Invoice,Rent Receivables,ASCT-IC0001055,GL0001230,2020-01-31,2020-02-08,,,21400.00,0
7689,ASCT-LT000007,JEWELRICH,Invoice,Rent Receivables,ASCT-IC0001034,GL0001209,2020-01-31,2020-02-08,,,21186.00,0
7814,ASCT-LT000044,LFAFA ENTERPRISE,Invoice,Rent Receivables,ASCT-IC0001061,GL0001236,2020-01-31,2020-02-08,,,16050.00,0
7850,ASCT-LT000046,Potato Corner,Invoice,Rent Receivables,ASCT-IC0001069,GL0001244,2020-01-31,2020-02-08,,,16050.00,0
7766,ASCT-LT000017,BUKO FACTORY,Invoice,Rent Receivables,ASCT-IC0001051,GL0001226,2020-01-31,2020-02-08,,,14124.00,0
